PE APC-H7 PE-Cy7 PerCP-Cy5.5 APC BV421 FITC FSC-A FSC-H FSC-W SSC-A AquaAmine
0.310716121760486 0.862491948995062 0.471758882077702 0.604154698703051 0.238289045417507 0.208299015496789 0.390125311184268 126367.489864447 110022.522039735 83399.0518821468 57910.0088208329 0.322512973478205
0.382795660138287 0.344275549467152 0.0777803159311889 0.338151849230294 0.0929198491204251 0.122593416501927 0.29580547021306 106702.882218231 83756.440516666 83480.7409380478 45062.0652344616 0.122876461957865
0.804194658993979 0.810344730652361 0.611862169496402 0.554782464958736 0.141220730439338 0.183084666135704 0.51188165934876 148661.619327967 106582.934665702 83293.4363621982 118050.573228882 0.420298033640028
0.329683320461395 0.932056626562632 0.0785351811229871 0.722436779356597 0.0956988485484863 0.0898846830819786 0.162010120597039 114232.79460602 90535.2281520727 83272.154633737 38178.4723055991 0.0840618790752341
0.60129898851319 0.617590876522902 0.651723431951228 0.711650381012106 0.166664702127773 0.162937102325171 0.439702457994174 147750.007623709 129649.579856438 80960.3706397805 92900.4733005893 0.331081397018208
0.358830487873416 0.876601640204629 0.929962655174323 0.4405882629961 0.104678717064159 0.283083804410046 0.468298649699361 127475.959132493 109213.067356514 76316.5987874744 44217.1540024574 0.186461790896168
0.389376824216759 0.885637532078002 0.403032657707618 0.613319155769247 0.240510879758493 0.15562028568853 0.330493195430088 144119.161125351 103246.394107268 77376.8210235042 84785.3263055143 0.312314826976043
0.333130190042088 0.706371924852162 0.35131278865454 0.620711566720806 0.0858206937685516 0.168327871126999 0.406204047091764 115883.177906706 111904.093062898 82276.4655886041 39712.7580292825 0.223555596821742
0.713091061666712 0.812434105114835 0.940549405204802 0.650815949488542 0.340700831654084 0.503039314169598 0.753367056930801 124777.407812395 100533.49028142 79085.5178944404 175858.953256115 0.814829578779466
0.318658900199678 0.941572609306246 0.10222951523401 0.93610994038003 0.12647154257872 0.0678475221819737 0.28313318528528 128461.390028147 110655.019357751 76122.1024365619 41015.6978480879 0.0914933211348705
