PE APC-H7 PE-Cy7 PerCP-Cy5.5 APC BV421 FITC FSC-A FSC-H FSC-W SSC-A AquaAmine
0.292538372870254 0.979819736785664 1.08845023368008 0.467611971045828 0.142828384587731 0.245863639657604 0.29598885702149 138238.959884306 115967.624550774 78234.2237053611 60261.6748976503 0.343473518970263
0.18744507078516 0.882367351979261 0.994729317099216 0.42867834704292 0.148077625349274 -0.0623163908126776 0.224781678998243 164773.445482366 136477.024465888 80282.5177843391 44271.8288507274 0.260252814715671
0.15943828913818 0.918688707931558 1.02830333539401 0.400008041926562 0.131359390999884 0.128267929299257 0.22383090541802 156331.206823674 139560.128710821 74815.159583029 57723.7204511924 0.301304577730234
0.192016395667053 0.900796579140534 1.00510955608501 0.393161217456841 0.121865384137541 0.139470448740088 0.225921439774944 167293.217374158 143793.1230607 76238.3113777211 41100.5046711929 0.224295922702103
0.172747006669774 0.939236679125069 1.01559927444572 0.15423418040437 0.125418117406096 0.0746992291004961 0.177260857733278 112063.665595912 94712.9879642962 77731.1578733552 42506.1847301348 0.0925330668503456
0.333794300935687 0.862606629206598 0.881546172756314 0.380378562518828 0.214901617148494 0.213156438632904 0.361309355316894 141023.758594859 114193.343472432 79373.3665849596 60740.7082371216 0.236079292667334
0.051273814745898 0.907740971078229 1.02359232136909 0.389342126845912 0.119970258291267 0.252431793401819 0.166529714734101 104195.3142538 92909.7477266068 73452.9062116371 47274.6542103455 0.26637679312917
0.137361717170843 0.828474287057634 0.968194088436777 0.378021515588901 0.0829287923646185 0.0501496121155546 0.213505936541724 228358.916321829 200072.811959457 74836.0587316693 35213.3232246298 0.213084997477772
0.316217027474625 0.795348656045786 0.879606754583404 0.552674256894791 0.22409645645328 0.314414111382676 0.124708521415633 108835.813412222 117848.363563705 78038.8968381554 39470.9209892248 0.0584632320774997
0.19613744930543 0.939660788319125 1.04059613846568 0.393490300429367 0.13333854280418 0.215718848489136 0.232270286217264 110362.39942019 92839.5106453841 77954.7824926427 49547.53927237 0.242382421796191
0.199744875854299 0.908442126843009 1.02596483226786 0.0658601878397952 0.135555688748819 0.209188605733777 0.24159149556278 138005.415269432 115157.971977201 78725.5145713888 49497.8376436415 0.274010682553624
