PE APC-H7 PE-Cy7 PerCP-Cy5.5 APC BV421 FITC FSC-A FSC-H FSC-W SSC-A AquaAmine
0.250904245736426 0.910556885363895 -0.33424880595943 0.650630529335116 0.0770052662763518 0.0861400827431163 0.196023824694364 125950.399139699 109828.399415004 75187.09654096 39528.6040702877 0.141671286140948
0.119885089161962 0.852067892500677 0.834590973727038 0.305415986714571 0.0779984565816634 0.112972924713013 0.22506376864511 161858.947021167 140364.037473319 75747.9300148659 34110.7431761624 0.137767521881875
0.266106138571846 0.913556439485405 0.30729376588895 0.412823578091804 0.0695651402297724 0.0427621700541292 0.281290178527409 102317.391946119 89168.1786899314 79272.186428131 56482.0592040353 0.160555348411309
0.233258859369555 0.912703724280753 -0.718356128759417 0.748026323662465 0.0761996919745679 0.138214913943399 0.135200259068977 120904.103076682 99853.4195166849 79724.0768905341 39549.9923757494 0.175853221122475
0.144259726717473 0.913482287378339 0.926275270548509 0.192312661456917 -0.341022768935595 0.0732088237738345 0.079542267202435 138179.682683382 121330.758258955 74657.6551414822 38738.8220846205 0.0474359727202233
0.253631850825504 0.923173401881757 0.21560870634581 0.953857823365048 0.0869057356237463 0.160050993991879 0.226891741182607 131235.022032595 113012.134165147 76371.8628364434 44137.3767633224 0.0135837707518172
0.275873554516722 0.962992205760004 1.04554767008749 0.42963514281657 0.138208160091494 0.12939357486784 0.283874644709577 179286.241787373 153367.044987342 77038.2649515494 49583.8001323496 0.217606658911341
0.259245714403194 0.954748296943146 -0.205847389546438 1.00371465944394 0.111851610286632 0.13993883619195 0.223663469045898 116611.967294171 98692.2370790951 77428.6733043218 43074.0852927944 0.210606293808742
0.211983372738012 0.93502741071197 -0.267750469884762 0.646416572969959 0.0928841220109462 0.127978209846429 0.228207938436116 182130.23419546 158580.884137971 75341.2329323892 38428.0551883295 0.22217455185843
0.171666704181696 0.795489604217485 0.0396289768167777 0.343150238620009 0.0539192986294725 0.266427472749202 0.402955639132897 144974.709973094 89879.1699411363 79979.7119816777 62557.7333763823 0.255233819835017
0.496698538319113 0.785300870621383 0.116868116025134 0.389976643282099 0.0502165459581406 0.0588701621265825 0.340538844436846 130665.856989588 122978.091255754 79774.0534071513 54947.1143855594 0.383376750296534
0.245463807561244 0.952494469070271 1.0134131040798 0.398360691208431 0.121978934366876 0.125592794368524 0.245903075903636 103616.758682577 83940.2110621522 80878.9409581401 43409.334373717 0.197300148468786
0.343163735221711 1.0143785890883 0.24393266803367 0.777505570269591 0.219651095112391 0.215401138820171 0.289125066003827 114355.380191921 90293.5748679356 83676.5866998693 64083.3611573117 0.273708629870907
0.179782258798288 0.953405945679502 -1.51062080536094 0.960543497474885 -0.84916837933847 0.0663765164410501 0.228926023728427 139667.46834358 123381.782038742 75422.9460214203 39542.3278044548 0.0273338207703215
0.419654507966944 0.83254560141087 0.502599484184346 0.530385203805512 0.165043299834727 0.14684120288681 0.339548581842774 148786.038396199 136447.026040791 76228.7866791823 61086.6460763972 0.335925874469725
0.075362958922925 0.877023678877216 0.193902035150935 0.744093327839823 0.153236528659394 0.220307047235074 0.345279162286761 168700.857132579 134229.186879762 81891.0813425065 45137.8385110753 0.357061351681257
0.284753691280461 0.980276130978348 1.0295394044818 0.425664230647212 0.144566144298706 0.171595134649116 0.329650492829337 119896.384059617 103989.212427603 75759.5482797247 45784.6814000864 0.222964089003602
0.235459924289754 0.905632334223067 0.95051196414225 0.198169020404322 0.0731075358079217 0.127421121066621 0.223820254995067 118873.845478656 102797.661374118 75966.2136540635 39580.4231285661 -0.03584986986657
0.371429362460524 0.927948898464259 -0.0171841385383007 0.423839160344662 0.0372288926308778 0.158068406693563 0.434042039747494 144785.806759182 123101.843915097 78425.7309731071 61084.7159773767 0.212503307587654
0.39710257181384 0.845349619213413 0.423610379651113 0.429504245689037 -0.0318729120031172 -0.020214811074742 0.299162184058624 184694.229950078 109704.422969339 82297.2991849544 46932.8599976558 0.351259877447339
0.319113564584711 0.99559066346621 -0.122063948523185 0.960055412640242 0.187484648794318 0.18403394481718 0.267401941036659 137147.412464034 119288.357556128 75354.715654316 48255.4398087837 0.2265227434927
0.392171581361933 0.605400053171556 0.0952779688067665 0.294050719125129 0.0834221721082407 -0.153270631138314 0.522803569789933 127874.842192503 112466.425536855 74643.3071281154 26233.382437013 0.226854915284072
0.620102628533963 0.895599417807835 -0.239710042109028 0.947205669881173 0.269343025054942 0.131165915979852 0.259001382908487 148656.916280741 128816.515616696 75953.9413649482 35855.2481007974 0.231235219045977
0.131006977368949 0.916510564402391 0.906025464671009 0.170641294820062 -0.399950216099525 -0.351046863710432 0.054979429762085 155493.039023734 135425.511039073 75522.9153056791 35051.1504481398 0.105104836688737
0.360079998140796 0.949789339787001 0.718099436340507 0.456838180604633 0.211421728640472 0.214230740921361 0.308353177264889 142609.80800333 122943.310345983 76468.1855278505 52845.6481901323 0.32128329350412
0.222897535184612 0.933918905336027 0.982469491079309 0.383845523000675 0.0940976974508708 0.106725563858622 0.231954335599016 120791.027391784 104605.043383309 75670.4684958625 41582.9891070864 0.184011726824582
0.413078406302227 0.676391660406787 0.289136232707528 0.588804066876295 -0.134004280929642 0.0689704743253095 0.31494240364516 139484.296479629 112583.599059689 79518.6848801289 41565.6947098008 0.455000882627401
0.354694929200523 0.725789282282073 0.103507160769275 0.528179996902712 0.0774248144544156 0.0922472752357049 0.222506531467811 138153.152926697 114890.280567917 80084.0089894852 55898.6400332743 0.257907032948744
0.382453310996757 0.680519300515602 -0.0520147359663955 0.406456894072875 0.0674700150257428 0.0263690920523471 0.344258021965381 154191.20031619 114348.450084654 78479.9269918724 38006.3084975264 0.34996638126064
0.416663965584052 0.837387801138338 -0.0455312464859947 0.360682626697832 -0.00444412647828255 0.166392198426084 0.445484221537445 152188.605729218 108556.82239191 79151.210853825 44317.890067512 0.18824155727294
0.335856356609442 0.891561278842428 0.763441403062432 0.488231457199029 0.0342733599407081 0.451325791102772 0.279777435381242 145787.840260937 104260.407371647 73177.0593441599 47063.997012386 0.200007246038141
0.351721889878467 0.9401258959005 0.579767444115832 0.522685471618208 0.305712510886369 0.0404700816130788 0.265366377284979 125274.975395709 94100.6216611889 81939.4681421062 55074.798665515 0.189379879489936
0.52516826685939 0.838427744832322 0.896533055989874 0.573780808104268 0.071939665313871 0.0809923735732086 0.226258312505883 70084.9323749336 130746.885046331 80758.2920792805 55834.5756758099 -0.0334742125717096
0.256823011329318 0.651586022899735 0.42387406826098 0.639123235908675 0.117665255222789 0.0778907938415874 0.232635526316116 115620.534353576 112228.658683233 79812.5754604797 37030.4892826869 0.397156389676436
0.318439226847291 0.849923430486333 0.302261626931603 0.402830431507093 0.0325408119016498 0.18167409574024 0.138599771030647 118035.474151509 106116.918488323 77651.4795852732 43497.7549331869 0.289097590589075
0.384617852974181 1.08536230031121 0.649977663133444 0.529642717957099 -0.051626291489153 0.0812796900835743 0.236322224182161 124620.657895231 112935.385007008 69734.7551164416 38060.8150327663 0.341983985655701
0.245320981918803 0.93750055078955 -0.2515772720853 1.02834492777115 0.0281701062322497 0.16289597984193 0.220656668242719 106557.535305522 82163.7550116057 85182.2765030284 44821.5629725596 0.22794263097241
0.207219620988571 0.873869391407613 -0.0433007074796651 0.361584503238162 0.320763397856499 0.105751279537322 0.0768106408805657 140311.328259654 127492.98856223 78180.1272081074 57752.3799656194 0.328959820518616
0.279866041794438 0.825289073445 0.116278936125422 0.450256759261946 0.0480736774231276 0.029129981042583 0.177018636783995 135965.622103491 125169.431959078 77504.9571910694 50507.1527546585 0.24656979618646
0.292875097844681 1.0219127253216 -0.162433512243542 0.414733558626711 0.182987987370385 0.18539492345841 0.262904890532556 106503.625274245 86309.644991123 80984.5057640362 46675.3770948445 0.204868621696556
0.337887856820872 0.718552445870523 -0.191346573730137 0.433727768884848 0.157891155562103 0.138710227955887 0.342591128315239 117150.245294981 110754.630629414 80734.8840081173 48301.3073636895 0.386227552975802
0.369958007621714 0.77863870231231 0.309271891081122 0.606123230616112 0.0954561620912718 0.115979515344906 0.349763935050423 127900.829179366 117658.017116458 75792.2207828012 44787.5345817991 0.214590520885641
0.424924905862564 0.819697178204882 -0.0570422092197816 0.555952686029266 0.0345668589614085 0.0558164211334706 0.305485160490489 129763.105686104 106213.629705749 80230.2843871531 36828.5494636835 0.16550246504116
0.238848118386226 0.889304822048662 -0.298647719583286 0.705472939645216 -0.120447318914068 -0.315398752386031 0.1787525320085 122602.719850501 104288.251867552 77460.2578071412 38468.2918490181 0.173647672406319
0.156483192910014 0.877474106488613 -1.7849637336569 0.786776879264031 -0.386971950127004 -0.405441729967298 0.0222460991628251 126107.096924188 110797.406938203 74728.3376374401 34911.0402959232 0.114616142500399
0.337154875342389 0.681220491136863 0.405095888938518 0.428308629911225 -0.00604891640691546 0.219748784491643 0.245287205793067 106572.543704276 114425.572797039 79493.5616504083 31547.8902576451 0.339572240044249
0.148533437086914 0.667598248425181 0.288965260720841 0.556090191344434 0.119397325448194 0.203299374257008 0.428600047488564 126297.614126606 100665.418415563 72984.7374153149 40721.2440245819 0.359087611890777
0.194356641387026 0.889004542959313 0.918098208891823 0.253928657301084 0.0703471045151352 -0.36786383624983 0.197496417813709 139976.947987809 123769.857474035 74246.8099053076 35262.52132445 0.188564966514123
0.284589876622338 1.07003343905019 -0.0929954243249191 0.4283069136513 0.210918994765677 0.206807906766938 0.28260586649288 137860.011675714 119622.672672498 75582.5490446619 47466.7206573986 0.243753145262368
0.430791227976468 0.91911163669577 -0.256524143397055 0.66495341557397 0.15742186047129 0.0961637294976528 0.36421785164284 132350.158148203 124067.065973541 78788.8336418744 64415.9786408139 0.390133723270941
0.389805717392841 0.799290643649093 0.182316647544779 0.514894793235191 -0.0383952393172645 0.174182836016102 0.251361861018929 136989.14936249 128426.476126342 79589.8600303061 56373.4025807514 0.308532715549695
0.151803360742572 0.905368577101445 -1.60038588686618 0.470717718256005 -0.314318677616574 0.0768125046237517 0.0920954372061492 148388.848153809 129044.987951081 75508.6408851678 33732.9623077009 0.0749821490668137
0.149765168592473 0.924536464744625 1.0197394421805 0.404093644593093 0.0638724768589032 0.0694915690118091 0.244171985326112 175539.024466438 149822.147064928 77093.3382677632 39560.8589703479 0.237444185375489
0.695576899648997 0.705085715075007 0.612833408510718 0.482164156627183 0.113526707134526 0.0756479893783074 0.347169189992916 114768.627643645 105855.850624015 72040.7878387456 51268.8543547856 0.353348458362304
