PE APC-H7 PE-Cy7 PerCP-Cy5.5 APC BV421 FITC FSC-A FSC-H FSC-W SSC-A AquaAmine
0.119885089161962 0.852067892500677 0.834590973727038 0.305415986714571 0.0779984565816634 0.112972924713013 0.22506376864511 161858.947021167 140364.037473319 75747.9300148659 34110.7431761624 0.137767521881875
0.144259726717473 0.913482287378339 0.926275270548509 0.192312661456917 -0.341022768935595 0.0732088237738345 0.079542267202435 138179.682683382 121330.758258955 74657.6551414822 38738.8220846205 0.0474359727202233
0.275873554516722 0.962992205760004 1.04554767008749 0.42963514281657 0.138208160091494 0.12939357486784 0.283874644709577 179286.241787373 153367.044987342 77038.2649515494 49583.8001323496 0.217606658911341
0.245463807561244 0.952494469070271 1.0134131040798 0.398360691208431 0.121978934366876 0.125592794368524 0.245903075903636 103616.758682577 83940.2110621522 80878.9409581401 43409.334373717 0.197300148468786
0.419654507966944 0.83254560141087 0.502599484184346 0.530385203805512 0.165043299834727 0.14684120288681 0.339548581842774 148786.038396199 136447.026040791 76228.7866791823 61086.6460763972 0.335925874469725
0.284753691280461 0.980276130978348 1.0295394044818 0.425664230647212 0.144566144298706 0.171595134649116 0.329650492829337 119896.384059617 103989.212427603 75759.5482797247 45784.6814000864 0.222964089003602
0.235459924289754 0.905632334223067 0.95051196414225 0.198169020404322 0.0731075358079217 0.127421121066621 0.223820254995067 118873.845478656 102797.661374118 75966.2136540635 39580.4231285661 -0.03584986986657
0.39710257181384 0.845349619213413 0.423610379651113 0.429504245689037 -0.0318729120031172 -0.020214811074742 0.299162184058624 184694.229950078 109704.422969339 82297.2991849544 46932.8599976558 0.351259877447339
0.131006977368949 0.916510564402391 0.906025464671009 0.170641294820062 -0.399950216099525 -0.351046863710432 0.054979429762085 155493.039023734 135425.511039073 75522.9153056791 35051.1504481398 0.105104836688737
0.360079998140796 0.949789339787001 0.718099436340507 0.456838180604633 0.211421728640472 0.214230740921361 0.308353177264889 142609.80800333 122943.310345983 76468.1855278505 52845.6481901323 0.32128329350412
0.222897535184612 0.933918905336027 0.982469491079309 0.383845523000675 0.0940976974508708 0.106725563858622 0.231954335599016 120791.027391784 104605.043383309 75670.4684958625 41582.9891070864 0.184011726824582
0.335856356609442 0.891561278842428 0.763441403062432 0.488231457199029 0.0342733599407081 0.451325791102772 0.279777435381242 145787.840260937 104260.407371647 73177.0593441599 47063.997012386 0.200007246038141
0.351721889878467 0.9401258959005 0.579767444115832 0.522685471618208 0.305712510886369 0.0404700816130788 0.265366377284979 125274.975395709 94100.6216611889 81939.4681421062 55074.798665515 0.189379879489936
0.52516826685939 0.838427744832322 0.896533055989874 0.573780808104268 0.071939665313871 0.0809923735732086 0.226258312505883 70084.9323749336 130746.885046331 80758.2920792805 55834.5756758099 -0.0334742125717096
0.384617852974181 1.08536230031121 0.649977663133444 0.529642717957099 -0.051626291489153 0.0812796900835743 0.236322224182161 124620.657895231 112935.385007008 69734.7551164416 38060.8150327663 0.341983985655701
0.337154875342389 0.681220491136863 0.405095888938518 0.428308629911225 -0.00604891640691546 0.219748784491643 0.245287205793067 106572.543704276 114425.572797039 79493.5616504083 31547.8902576451 0.339572240044249
0.194356641387026 0.889004542959313 0.918098208891823 0.253928657301084 0.0703471045151352 -0.36786383624983 0.197496417813709 139976.947987809 123769.857474035 74246.8099053076 35262.52132445 0.188564966514123
0.149765168592473 0.924536464744625 1.0197394421805 0.404093644593093 0.0638724768589032 0.0694915690118091 0.244171985326112 175539.024466438 149822.147064928 77093.3382677632 39560.8589703479 0.237444185375489
0.695576899648997 0.705085715075007 0.612833408510718 0.482164156627183 0.113526707134526 0.0756479893783074 0.347169189992916 114768.627643645 105855.850624015 72040.7878387456 51268.8543547856 0.353348458362304
0.232013745238105 0.911254347916602 0.974601886442083 0.395285621653271 -0.0992785926455485 -0.16189689928078 0.228307757997402 117915.561486744 101214.00986445 76543.9654743596 40861.4835311274 0.197710219694357
0.14756376320777 0.924242760728283 0.945482476717646 0.177624000642129 -0.37051064656223 0.107517639709314 0.0803694513779028 112700.911554435 91052.663275747 81213.0489700433 40893.7528657401 0.0500202760077603
0.406045896462374 0.847204979137125 1.18602259129087 0.499461704878423 0.166871871217359 0.14410329617426 0.144197371919309 170335.594686894 134002.128896661 78857.8241751448 63417.3953027231 0.172444869312466
0.299576377743447 1.01300205573765 1.09097770166636 0.437636737255309 0.194554118468689 0.144144781077899 0.286103213751163 121735.404790915 104983.618234566 76007.0608403636 45666.5384061287 0.217526600261682
0.678845116772637 0.892034162679665 0.752737343511579 0.511688600978754 1.59541552038662 0.36433293253893 1.01858218918817 170069.756777023 146175.016359158 76292.9707511664 35795.7270334642 0.188269701590427
0.237464268540917 0.943837073951713 0.997446085079292 0.394983269629123 0.105380240865918 0.106493099137622 0.24467365575756 146658.768130482 130627.717668995 73556.6474414486 42342.0021865707 0.185908003323063
